Position;Rank;Name;Uri;ImageUri;Industry;Country;Revenue;MarketValue;Headquarters;Ceo;Profits;Assets;State;SquareImage;Thumbnail
1953;1953;Avery Dennison;avery-dennison;avery-dennison;Specialized Chemicals;United States;6818,0;9478,0;California;Mitchell Butier;294,8;5280,0;California;;
1529;1529;Avis Budget Group;avis-budget-group;avis-budget-group;Rental & Leasing;United States;8977,0;3527,0;New Jersey;Larry de Shon;381,0;19222,0;New Jersey;;
171;171;Aviva;aviva;aviva;Life & Health Insurance;United Kingdom;63718,0;29521,0;United Kingdom;Mark Wilson;1927,9;580591,0;;;
1701;1701;Avnet;avnet;avnet;Electronics;United States;18584,0;4808,0;Arizona;Bill Amelio;-138,9;9712,0;Arizona;//specials-images.forbesimg.com/imageserve/5926f94a31358e03e5597d98/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5926f94a31358e03e5597d98/280x425.jpg?fit=scale&background=000000
1993;1993;Awa Bank;awa-bank;awa-bank;Regional Banks;Japan;593,0;1464,0;Japan;Yoshifumi Okada;107,0;30885,0;;;
1508;1508;Axiata Group;axiata-group;axiata-group;Telecommunications services;Malaysia;5676,0;12118,0;Malaysia;Jamaludin bin Ibrahim;211,5;17467,0;;;
635;635;Axis Bank;axis-bank;axis-bank;Regional Banks;India;8590,0;21108,0;India;Shikha Sharma;589,5;94180,0;;;
1216;1216;Ayala;ayala;ayala;Conglomerates;Philippines;4805,0;11543,0;Philippines;Jaime Zobel;600,3;20520,0;;;
1776;1776;B3;b3;no-pic;Investment Services;Brazil;1151,0;13430,0;Brazil;Gilson Finkelsztain;406,0;11677,0;;//specials-images.forbesimg.com/imageserve/5a0493d731358e542c050908/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5a0493d731358e542c050908/280x425.jpg?fit=scale&background=000000
466;466;BAE Systems;bae-systems;bae-systems;Aerospace & Defense;United Kingdom;23595,0;27450,0;United Kingdom;Charles Woodburn;1099,8;30373,0;;//specials-images.forbesimg.com/imageserve/591f441331358e03e5594ade/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/591f441331358e03e5594ade/280x425.jpg?fit=scale&background=000000
1109;1109;BAIC Motor;baic-motor;baic-motor;Auto & Truck Manufacturers;China;19858,0;7842,0;China;Shao Wang;334,2;25707,0;;;
82;82;BASF;basf;basf;Diversified Chemicals;Germany;75100,0;95299,0;Germany;Martin Brudermüller;7067,8;98947,0;;//specials-images.forbesimg.com/imageserve/5cd1a35efd0cc4000870cf2b/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5cd1a35efd0cc4000870cf2b/280x425.jpg?fit=scale&background=000000
255;255;BB&T;bbt;bbt;Major Banks;United States;12281,0;42933,0;North Carolina;Kelly King;2761,0;220729,0;North Carolina;;
1362;1362;BBMG;bbmg;bbmg;Construction Materials;China;9109,0;6595,0;China;Jin PhD;320,0;37399,0;;;
1780;1780;BBVA Banco Continental;bbva-banco-continental;bbva-banco-continental;Regional Banks;Peru;1827,0;6838,0;Peru;Eduardo Torres-Llosa;432,4;23921,0;;;
116;116;BBVA-Banco Bilbao Vizcaya;bbva-banco-bilbao-vizcaya;bbva-banco-bilbao-vizcaya;Regional Banks;Spain;29239,0;54477,0;Spain;Carlos Vila;4277,1;843010,0;;//specials-images.forbesimg.com/imageserve/5cd1a3e55f8e4500093c5132/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5cd1a3e55f8e4500093c5132/280x425.jpg?fit=scale&background=000000
333;333;BCE;bce;bce;Telecommunications services;Canada;17862,0;37772,0;Canada;George Cope;2260,3;43939,0;;;
1130;1130;BCI-Banco Credito;bci-banco-credito;bci-banco-credito;Major Banks;Chile;3195,0;9209,0;Chile;Eugenio Chrismar;572,3;55097,0;;;
1724;1724;BCV Group;banque-cantonale-vaudoise;no-pic;Regional Banks;Switzerland;1170,0;6853,0;Switzerland;Pascal Kiener;325,3;46603,0;;;
1072;1072;BDO Unibank;bdo-unibank;bdo-unibank;Regional Banks;Philippines;2984,0;11133,0;Philippines;Nestor Tan;553,7;53617,0;;;
1533;1533;BGF Retail;bgf-retail;bgf-retail;Food Retail;South Korea;2387,0;3175,0;South Korea;Jae-Gu Park;3093,9;802,0;;;
108;108;BHP Billiton;bhp-group;no-pic;Diversified Metals & Mining;Australia;41234,0;133205,0;Australia;Mark Hurd;4712,0;112582,0;;;
40;40;BMW Group;bmw-group;bmw-group;Auto & Truck Manufacturers;Germany;114435,0;72348,0;Germany;Harald Krüger;10239,4;241324,0;;//specials-images.forbesimg.com/imageserve/5cd1a43ef68bc400088edc16/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5cd1a43ef68bc400088edc16/280x425.jpg?fit=scale&background=000000
1443;1443;BNK Financial Group;bnk-financial-group;no-pic;Regional Banks;South Korea;3789,0;3048,0;South Korea;Ji-Wan Kim;389,8;102494,0;;;
19;19;BNP Paribas;bnp-paribas;bnp-paribas;Major Banks;France;117774,0;93581,0;France;Jean-Laurent Bonnafé;8501,2;2353870,0;;;
506;506;BOE Technology Group;boe-technology-group;boe-technology-group;Electronics;China;14013,0;24074,0;China;Yan Chen;1084,0;41758,0;;;
1816;1816;BOK Financial;bok-financial;bok-financial;Regional Banks;United States;1656,0;6781,0;Oklahoma;Steve Bradshaw;348,3;33361,0;Oklahoma;;
36;36;BP;bp;bp;Oil & Gas Operations;United Kingdom;251939,0;152567,0;United Kingdom;Robert Dudley;4319,0;275287,0;;;
1352;1352;BPER Banca;bper-banca;no-pic;Regional Banks;Italy;3011,0;2882,0;Italy;Alessandro Vandelli;482,5;84786,0;;;
1773;1773;BRF;brf-brasil-foods;brf-brasil-foods;Food Processing;Brazil;10483,0;5329,0;Brazil;Lorival Luz Jr.;-352,3;14171,0;;;
282;282;BT Group;bt-group;bt-group;Telecommunications services;United Kingdom;30788,0;29179,0;United Kingdom;Dong-Hyun Jang;2176,4;61052,0;;;
694;694;BYD;byd;byd;Auto & Truck Manufacturers;China;16333,0;21445,0;China;Chuan Wang;532,0;28942,0;;;
300;300;Baidu;baidu;baidu;Computer Services;China;13413,0;94126,0;China;Yan Li;3517,0;42829,0;;//specials-images.forbesimg.com/imageserve/5cd1a319f68bc400088edc13/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5cd1a319f68bc400088edc13/280x425.jpg?fit=scale&background=000000
1581;1581;Bajaj Auto;bajaj-auto;bajaj-auto;Recreational Products;India;3577,0;12111,0;India;Rajivnayan Bajaj;599,8;3518,0;;;
1003;1003;Ball;ball;ball;Containers & Packaging;United States;11303,0;13463,0;Colorado;John Hayes;456,0;17731,0;Colorado;;
1264;1264;Banca MPS;banca-mps;banca-mps;Regional Banks;Italy;6542,0;4220,0;Italy;Jung-Won Park;-3950,4;167306,0;;;
1509;1509;Banca Mediolanum;banca-mediolanum;no-pic;Life & Health Insurance;Italy;3914,0;5844,0;Italy;Massimo Doris;428,6;51876,0;;;
1756;1756;Banca Popolare di Sondrio;banca-popolare-di-sondrio;banca-popolare-di-sondrio;Regional Banks;Italy;1348,0;2099,0;Italy;Mario Pedranzini;179,6;49983,0;;;
1908;1908;Banco BPI;banco-bpi;banco-bpi;Major Banks;Portugal;1137,0;2527,0;Portugal;Fernando Costa;11,5;35592,0;;;
831;831;Banco BPM;banco-bpm;no-pic;Regional Banks;Italy;5195,0;5334,0;Italy;Giuseppe Castagna;2951,0;193577,0;;;
65;65;Banco Bradesco;banco-bradesco;banco-bradesco;Regional Banks;Brazil;76500,0;61340,0;Brazil;Octávio Lazari Jr.;4677,7;370504,0;;;
1583;1583;Banco Comercial Portugues;banco-comercial-portugues;banco-comercial-portugues;Regional Banks;Portugal;3383,0;5389,0;Portugal;Nuno Amado;259,3;89380,0;;;
1638;1638;Banco Davivienda;banco-davivienda;banco-davivienda;Regional Banks;Colombia;3580,0;5205,0;Colombia;Carlos Arango;432,0;33765,0;;;
31;31;Banco Santander;santander;no-pic;Major Banks;Spain;56068,0;106323,0;Spain;José Álvarez;7953,6;1769144,0;;//specials-images.forbesimg.com/imageserve/5cd48736169cc600095ed061/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5cd48736169cc600095ed061/280x425.jpg?fit=scale&background=000000
1708;1708;Banco de Chile;banco-de-chile;no-pic;Regional Banks;Chile;3930,0;6461,0;Chile;Arturo Quiroz;132,6;55079,0;;;
620;620;Banco de Sabadell;banco-de-sabadell;banco-de-sabadell;Regional Banks;Spain;8355,0;11544,0;Spain;Jaime Romojaro;987,1;269355,0;;;
140;140;Banco do Brasil;banco-do-brasil;banco-do-brasil;Regional Banks;Brazil;55033,0;27832,0;Brazil;Paulo Caffarelli;3448,8;412771,0;;;
761;761;Bancolombia;bancolombia;bancolombia;Regional Banks;Colombia;7417,0;11547,0;Colombia;Juan Uribe;885,8;68322,0;;//specials-images.forbesimg.com/imageserve/5bc6178031358e59f57ad105/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416;http://specials-images.forbesimg.com/imageserve/5bc6178031358e59f57ad105/280x425.jpg?fit=scale&background=000000
1757;1756;Bandai Namco Holdings;bandai-namco-holdings;no-pic;Recreational Products;Japan;6120,0;8379,0;Japan;Takeo Takasu;488,2;5082,0;;;
829;829;Bangkok Bank;bangkok-bank;bangkok-bank;Regional Banks;Thailand;4939,0;11387,0;Thailand;Chatri Sophonpanich;1019,8;101500,0;;;
1415;1415;Bank Audi;bank-audi;bank-audi;Regional Banks;Lebanon;3321,0;2299,0;Lebanon;Samir Hanna;542,3;43301,0;;;
574;574;Bank Central Asia;bank-central-asia;bank-central-asia;Regional Banks;Indonesia;5164,0;40208,0;Indonesia;Jahja Setiaatmadja;1773,2;55218,0;;;
932;932;Bank Hapoalim;bank-hapoalim;bank-hapoalim;Regional Banks;Israel;4966,0;9568,0;Israel;Ari Pinto;739,5;130896,0;;;
912;912;Bank Leumi;bank-leumi;bank-leumi;Regional Banks;Israel;4792,0;9301,0;Israel;Rakefet Russak-Aminoach;881,9;129896,0;;;
489;489;Bank Mandiri;bank-mandiri;bank-mandiri;Regional Banks;Indonesia;8110,0;24086,0;Indonesia;Kartika Wirjoatmodjo;1668,4;79774,0;;;
1655;1655;Bank Muscat;bank-muscat;bank-muscat;Regional Banks;Oman;1527,0;2895,0;Oman;Abdul Ali Issa;463,2;29363,0;;;
903;903;Bank Negara Indonesia;bank-negara-indonesia;bank-negara-indonesia;Regional Banks;Indonesia;4902,0;11062,0;Indonesia;Achmad Baiquni;1044,4;50837,0;;;
